,Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
33553,5 Series,2024,Middle East,Grey,Diesel,Manual,4.1,119506,58342,4092,Low
9427,X1,2023,Africa,Black,Petrol,Manual,3.7,153279,82399,4207,Low
199,3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,3507,Low
12447,i8,2020,Africa,White,Hybrid,Automatic,2.3,74925,71520,2745,Low
39489,X1,2016,Asia,Red,Hybrid,Automatic,3.1,188803,48269,1337,Low
42724,M3,2017,Africa,Black,Diesel,Manual,2.8,119970,101589,1480,Low
10822,7 Series,2019,Europe,Black,Hybrid,Automatic,4.9,184135,60516,1319,Low
49498,i3,2013,Middle East,White,Diesel,Automatic,2.0,127710,85931,5367,Low
4144,5 Series,2012,Middle East,Grey,Petrol,Manual,4.5,57546,69168,3045,Low
36958,X6,2021,Africa,Grey,Electric,Manual,1.9,149367,102366,3522,Low
43106,X6,2012,South America,Black,Diesel,Automatic,4.1,59217,31735,3767,Low
38695,i8,2012,Asia,Silver,Electric,Manual,1.8,187977,64275,2401,Low
6188,5 Series,2022,North America,Red,Electric,Manual,1.9,79876,31421,9321,High
1414,i8,2024,Europe,Grey,Hybrid,Manual,1.9,153385,64860,7478,High
18471,i3,2024,South America,Silver,Petrol,Manual,4.8,54846,68591,8952,High
29282,7 Series,2021,Africa,Silver,Petrol,Automatic,3.0,6405,79885,3141,Low
15177,X6,2013,Middle East,Blue,Electric,Automatic,1.8,47366,72165,4988,Low
34304,M3,2010,North America,Blue,Electric,Automatic,4.8,90901,82267,6119,Low
12609,M5,2018,Middle East,Red,Electric,Manual,2.7,188498,83060,8963,High
12144,3 Series,2020,North America,Silver,Petrol,Manual,3.7,98827,91134,9349,High
6113,M3,2018,Africa,Black,Hybrid,Automatic,2.8,107084,115741,5760,Low
15908,i3,2022,South America,Blue,Diesel,Automatic,3.4,155431,40575,3058,Low
821,5 Series,2024,Africa,Grey,Electric,Manual,2.7,145156,48139,9319,High
15118,5 Series,2014,South America,Red,Diesel,Manual,3.7,96512,65804,9804,High
13466,5 Series,2014,North America,Silver,Electric,Automatic,4.6,162298,31478,8239,High
26497,X6,2022,Middle East,Grey,Petrol,Manual,3.6,112087,92059,4374,Low
42111,M5,2024,Asia,Black,Petrol,Manual,4.1,168174,62963,2018,Low
30188,X6,2017,Africa,Grey,Petrol,Automatic,3.5,116929,81401,9567,High
37237,X6,2014,Middle East,Grey,Petrol,Manual,2.7,92290,77098,1819,Low
33109,X6,2024,Europe,Red,Petrol,Automatic,3.7,76914,71498,1910,Low
36480,M3,2020,Asia,Red,Electric,Automatic,4.5,28804,36414,3026,Low
24148,X3,2010,Europe,White,Diesel,Automatic,2.8,170358,65737,1618,Low
5503,i8,2021,Asia,White,Petrol,Manual,3.6,50622,34153,7714,High
